id,value,feed_id,created_at,lat,lon,ele
0EADW7GD7CTTJDR9Q2P7AN5FEJ,"46.6,33.8,37.9,34.9,33.1,34.0,100.4,,52.1,,35.7, , 36.2,67.4,995.0,500.5,139.2",1235641,2019-12-01 02:17:01 UTC,,,
0EADW7MZ13M33VVHMW57S14F76,"46.8,33.9,38.0,35.0,33.0,34.0,100.4,,52.1,,35.8, , 36.2,67.5,995.0,500.5,139.1",1235641,2019-12-01 02:17:16 UTC,,,
0EADW7SHNW5BRNZ3J13X6G5HTA,"46.9,34.0,38.0,35.0,33.1,34.0,100.7,,52.1,,35.9, , 36.3,67.6,995.0,500.5,139.1",1235641,2019-12-01 02:17:31 UTC,,,
0EADW7Y45TGB5G3H665XEJE7VB,"47.0,34.0,38.2,35.1,33.1,34.1,100.8,,52.3,,35.9, , 36.3,67.7,995.0,500.5,138.0",1235641,2019-12-01 02:17:46 UTC,,,
0EADW82PN012KG7MRTHB9BVSH7,"47.2,34.1,38.3,35.2,33.1,34.1,100.9,,52.8,,35.8, , 36.3,67.8,995.0,500.5,138.7",1235641,2019-12-01 02:18:01 UTC,,,
0EADW878ZNMANQ229ERS826SFQ,"47.4,34.1,38.4,35.2,33.1,34.1,101.1,,53.0,,35.7, , 36.4,68.0,995.0,500.5,138.4",1235641,2019-12-01 02:18:16 UTC,,,
0EADW8BVA029RNSMRT1EPV14DJ,"47.6,34.3,38.5,35.2,33.1,34.3,101.3,,53.0,,35.7, , 36.4,68.1,995.0,499.9,138.2",1235641,2019-12-01 02:18:31 UTC,,,
0EADW8GE046ZYNYNBDSGAHCNX4,"47.7,34.4,38.6,35.3,33.1,34.3,101.5,,53.5,,35.7, , 36.4,68.1,995.0,500.5,137.9",1235641,2019-12-01 02:18:46 UTC,,,
0EADW8N0B7SV757V0V3AJQQXTQ,"47.8,34.4,38.6,35.5,33.1,34.3,101.5,,53.4,,35.6, , 36.5,68.2,995.0,500.7,138.0",1235641,2019-12-01 02:19:01 UTC,,,
0EADW8SJZQ4ETXQ8ASV2EJJGVD,"47.9,34.5,38.7,35.5,33.2,34.4,101.6,,53.7,,35.4, , 36.5,68.3,995.0,500.7,137.4",1235641,2019-12-01 02:19:16 UTC,,,
0EADW8Y5MH8RWTNZZCXC2B0AC5,"48.2,34.6,38.8,35.6,33.2,34.4,101.7,,53.8,,35.4, , 36.5,68.4,995.0,500.7,137.8",1235641,2019-12-01 02:19:31 UTC,,,
0EADW92QTRD021S6H5ZW0MDVRW,"48.2,34.7,38.8,35.7,33.2,34.5,101.9,,53.9,,35.4, , 36.6,68.5,995.0,499.9,137.1",1235641,2019-12-01 02:19:46 UTC,,,
0EADW97ABSRCX73V669H0NT266,"48.3,34.7,38.9,35.8,33.2,34.5,102.1,,54.3,,35.6, , 36.6,68.7,995.0,500.5,136.8",1235641,2019-12-01 02:20:01 UTC,,,
0EADW9BX80QJ116H2WC1C2X9BB,"48.5,34.8,39.1,35.8,33.2,34.6,102.1,,54.5,,35.8, , 36.7,68.8,995.0,500.5,137.0",1235641,2019-12-01 02:20:16 UTC,,,
